The current server timezone is: Europe/Berlin, file created at: 01/04/2019 11:13:35 am
No. of visitors
128
----IP hash, ID, Start-time, %CPU, Memory(total, used, free, shared,buffers,cached), MPD-Status, MPD-End-time, End-time----
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8797339335, #3:01/24/2019 01:40:10 pm, #4:1.26, #5:7863868,5813708,838536,73968,1211624,1573324, #6:200 OK, #7:01/24/2019 01:40:13 pm, #8:01/24/2019 01:40:35 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id4364516470, #3:01/24/2019 01:40:25 pm, #4:1.87, #5:7863868,5757244,779484,130512,1327140,1573816, #6:200 OK, #7:01/24/2019 01:40:27 pm, #8:01/24/2019 01:40:45 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id5754093020, #3:01/24/2019 01:43:15 pm, #4:0.29, #5:7863868,5775048,749100,131264,1339720,1555108, #6:200 OK, #7:01/24/2019 01:43:16 pm, #8:01/24/2019 01:43:38 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id6976345003, #3:01/24/2019 01:51:52 pm, #4:0.21, #5:7863868,5753616,723820,131576,1386432,1576784, #6:200 OK, #7:01/24/2019 01:51:53 pm, #8:01/24/2019 01:52:06 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id5501544804, #3:01/24/2019 01:52:27 pm, #4:0.64, #5:7863868,5765704,704220,131052,1393944,1565224, #6:200 OK, #7:01/24/2019 01:52:28 pm, #8:01/24/2019 01:52:42 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id9637005899, #3:01/24/2019 02:08:06 pm, #4:0.17, #5:7863868,5889552,387388,131076,1586928,1441528, #6:200 OK, #7:01/24/2019 02:08:07 pm, #8:01/24/2019 02:08:19 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7934162991, #3:01/24/2019 02:08:37 pm, #4:0.83, #5:7863868,5896384,373352,130840,1594132,1434904, #6:200 OK, #7:01/24/2019 02:08:38 pm, #8:01/24/2019 02:08:54 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id3518948784, #3:01/24/2019 02:49:28 pm, #4:0.02, #5:7863868,4363832,1778896,134444,1721140,2964308, #6:200 OK, #7:01/24/2019 02:49:29 pm, #8:01/24/2019 02:49:45 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id518432992, #3:01/24/2019 03:16:33 pm, #4:0.14, #5:7863868,4427856,1594332,139452,1841680,2895380, #6:200 OK, #7:01/24/2019 03:16:35 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id1005665969, #3:01/24/2019 03:54:28 pm, #4:0.03, #5:7863868,4432112,1509028,140828,1922728,2890076, #6:200 OK, #7:01/24/2019 03:54:30 pm, #8:01/24/2019 03:54:55 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id2350906607, #3:01/24/2019 03:59:13 pm, #4:0.55, #5:7863868,4403848,1552840,137876,1907180,2921288, #6:200 OK, #7:01/24/2019 03:59:14 pm, #8:01/24/2019 03:59:34 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id397599344, #3:01/24/2019 04:14:32 pm, #4:0.45, #5:7863868,4424996,1507060,140116,1931812,2897940, #6:200 OK, #7:01/24/2019 04:14:33 pm, #8:01/24/2019 04:14:51 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8452142146, #3:01/24/2019 04:15:27 pm, #4:0.84, #5:7863868,4392308,1569536,137540,1902024,2933132, #6:200 OK, #7:01/24/2019 04:15:28 pm, #8:01/24/2019 04:15:42 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id9918322546, #3:01/24/2019 04:15:54 pm, #4:0.98, #5:7863868,4410340,1544472,136964,1909056,2915732, #6:200 OK, #7:01/24/2019 04:15:55 pm, #8:01/24/2019 04:16:10 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id695471262, #3:01/24/2019 04:33:50 pm, #4:0.45, #5:7863868,4434228,1433144,139980,1996496,2888376, #6:200 OK, #7:01/24/2019 04:33:51 pm, #8:01/24/2019 04:33:56 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7206294062, #3:01/24/2019 04:40:13 pm, #4:0.13, #5:7863868,4502476,1356816,138952,2004576,2821004, #6:200 OK, #7:01/24/2019 04:40:14 pm, #8:01/24/2019 04:40:36 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id1867257685, #3:01/25/2019 02:06:00 pm, #4:0.12, #5:7863868,4610620,273144,94232,2980104,2757536, #6:HTTP/1.1 400 Bad Request, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id6628757063, #3:01/25/2019 02:06:08 pm, #4:0.48, #5:7863868,4655900,268508,94268,2939460,2712292, #6:200 OK, #7:01/25/2019 02:06:10 pm, #8:01/25/2019 02:45:44 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id602168938, #3:01/25/2019 06:10:10 pm, #4:0.25, #5:7863868,5842828,269100,122020,1751940,1493084, #6:200 OK, #7:01/25/2019 06:10:11 pm, #8:01/25/2019 06:10:23 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1863868594, #3:01/25/2019 06:15:34 pm, #4:0.18, #5:7863868,5396624,841272,84256,1625972,1977292, #6:200 OK, #7:01/25/2019 06:15:35 pm, #8:01/25/2019 06:15:44 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id864627849, #3:01/25/2019 06:17:50 pm, #4:0.33, #5:7863868,5425184,804880,85576,1633804,1947416, #6:200 OK, #7:01/25/2019 06:17:51 pm, #8:01/25/2019 06:18:00 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1741061729, #3:01/25/2019 06:19:43 pm, #4:0.52, #5:7863868,5424220,799300,85704,1640348,1948148, #6:200 OK, #7:01/25/2019 06:19:44 pm, #8:01/25/2019 06:19:55 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7682976643, #3:01/25/2019 06:21:52 pm, #4:0.43, #5:7863868,5427016,784956,90100,1651896,1940968, #6:200 OK, #7:01/25/2019 06:21:53 pm, #8:01/25/2019 06:22:06 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id900051317, #3:01/25/2019 06:23:13 pm, #4:0.71, #5:7863868,5463304,685120,90732,1715444,1903324, #6:200 OK, #7:01/25/2019 06:23:14 pm, #8:01/25/2019 06:23:25 pm
